name;url;url_raw;type;email;external_doc;external_tool;consolidation;labels
irve;https://github.com/etalab/schema-irve.git;https://raw.githubusercontent.com/etalab/schema-irve/master/datapackage.json;datapackage;contact@transport.data.gouv.fr;https://doc.transport.data.gouv.fr/producteurs/infrastructures-de-recharge-de-vehicules-electriques-irve;;5448d3e0c751df01f85d0572;Socle Commun des Données Locales|transport.data.gouv.fr
format-commande-publique;https://github.com/139bercy/format-commande-publique.git;;jsonschema;schema@data.gouv.fr;;;;
decp-dpa;https://github.com/etalab/schema-decp-dpa.git;https://raw.githubusercontent.com/etalab/schema-decp-dpa/master/schema.json;tableschema;schema@data.gouv.fr;;;;
catalogue;https://gitlab.com/opendatafrance/scdl/catalogue.git;https://gitlab.com/opendatafrance/scdl/catalogue/-/raw/master/schema.json;tableschema;scdl@opendatafrance.email;;;;Socle Commun des Données Locales
deliberations;https://gitlab.com/opendatafrance/scdl/deliberations.git;https://gitlab.com/opendatafrance/scdl/deliberations/-/raw/master/schema.json;tableschema;scdl@opendatafrance.email;;;;Socle Commun des Données Locales
equipements;https://gitlab.com/opendatafrance/scdl/equipements.git;https://gitlab.com/opendatafrance/scdl/equipements/-/raw/master/schema.json;tableschema;scdl@opendatafrance.email;;;;Socle Commun des Données Locales
subventions;https://gitlab.com/opendatafrance/scdl/subventions.git;https://gitlab.com/opendatafrance/scdl/subventions/-/raw/master/schema.json;tableschema;scdl@opendatafrance.email;;;;Socle Commun des Données Locales
covoiturage;https://github.com/etalab/schema-lieux-covoiturage.git;https://raw.githubusercontent.com/etalab/schema-lieux-covoiturage/master/schema.json;tableschema;contact@transport.data.gouv.fr;;https://contribuer.transport.data.gouv.fr;5d6eaffc8b4c417cdc452ac3;transport.data.gouv.fr
infos-travaux;https://github.com/metis-reseaux/infos-travaux.git;;jsonschema;contact@gotmi.io;;;;
stationnement;https://github.com/etalab/schema-stationnement.git;https://raw.githubusercontent.com/etalab/schema-stationnement/master/schema.json;tableschema;contact@transport.data.gouv.fr;;;5ea1add4a5a7dac3af82310a;transport.data.gouv.fr
budget;https://gitlab.com/opendatafrance/scdl/budget.git;https://gitlab.com/opendatafrance/scdl/budget/-/raw/master/schema.json;tableschema;scdl@opendatafrance.email;;;;Socle Commun des Données Locales
dae;https://gitlab.com/arsante/atlasante/schema-dae.git;https://gitlab.com/arsante/atlasante/schema-dae/-/raw/master/schema.json;tableschema;contact@geodae.sante.gouv.fr;;;;Socle Commun des Données Locales
prenoms;https://gitlab.com/opendatafrance/scdl/prenoms.git;https://gitlab.com/opendatafrance/scdl/prenoms/-/raw/main/schema.json;tableschema;scdl@opendatafrance.email;;;;Socle Commun des Données Locales
arbres_urbains;https://github.com/NaturalSolutions/schema-arbre.git;https://raw.githubusercontent.com/NaturalSolutions/schema-arbre/master/schema.json;tableschema;contact@natural-solutions.eu;;;;
amenagements-cyclables;https://github.com/etalab/schema-amenagements-cyclables;;jsonschema;contact@transport.data.gouv.fr;https://doc.transport.data.gouv.fr/producteurs/amenagements-cyclables;https://github.com/etalab/schema-amenagements-cyclables/tree/master/tools;;transport.data.gouv.fr|Socle Commun des Données Locales
stationnement-cyclable;https://github.com/etalab/schema-stationnement-cyclable;https://raw.githubusercontent.com/etalab/schema-stationnement-cyclable/master/schema.json;tableschema;contact@transport.data.gouv.fr;https://doc.transport.data.gouv.fr/producteurs/documentation-sur-le-stationnement-cyclable;;;transport.data.gouv.fr
lieux-mediation-numerique;https://github.com/LaMednum/standard-mediation-num.git;https://raw.githubusercontent.com/LaMednum/standard-mediation-num/main/schema.json;tableschema;contact@lamednum.coop;;;;
bal;https://github.com/etalab/schema-bal;;other;adresse@data.gouv.fr;https://adresse.data.gouv.fr/bases-locales;https://mes-adresses.data.gouv.fr/new;;Socle Commun des Données Locales
hautes-remunerations;https://github.com/etalab/schema-hautes-remunerations;https://raw.githubusercontent.com/etalab/schema-hautes-remunerations/master/schema.json;tableschema;schema@data.gouv.fr;;;;
menus-restauration;https://gitlab.com/opendatafrance/scdl/menus-collectifs.git;https://gitlab.com/opendatafrance/scdl/menus-collectifs/-/raw/master/schema.json;tableschema;scdl@opendatafrance.email;;;;Socle Commun des Données Locales
plats-restauration;https://gitlab.com/opendatafrance/scdl/plats-menus-collectifs.git;https://gitlab.com/opendatafrance/scdl/plats-menus-collectifs/-/raw/master/schema.json;tableschema;scdl@opendatafrance.email;;;;Socle Commun des Données Locales
accessibilite-erp;https://github.com/MTES-MCT/acceslibre-schema.git;https://raw.githubusercontent.com/MTES-MCT/acceslibre-schema/master/schema.json;tableschema;acceslibre@beta.gouv.fr;;;;
sdirve;https://github.com/etalab/schema-sdirve.git;https://raw.githubusercontent.com/etalab/schema-sdirve/master/schema.json;tableschema;schema@data.gouv.fr;;;;
registre-archive;https://github.com/Archivistes75/registre_entrees.git;https://raw.githubusercontent.com/Archivistes75/registre_entrees/master/schema.json;tableschema;hello@datactivist.coop;;;;
datatourisme;https://gitlab.adullact.net/adntourisme/datatourisme/ontology.git;;other;contact@datatourisme.fr;;;;
schema-zfe;https://github.com/etalab/schema-zfe;;jsonschema;contact@transport.data.gouv.fr;https://doc.transport.data.gouv.fr/producteurs/zones-a-faibles-emissions;;625438b890bf88454b283a55;transport.data.gouv.fr
arrete-circulation-marchandise;https://github.com/CEREMA/schema-arrete-circulation-marchandises.git;https://raw.githubusercontent.com/CEREMA/schema-arrete-circulation-marchandises/master/schema.json;tableschema;data-med@cerema.fr;;;;
stations-taxi;https://github.com/openmaraude/schema-stationstaxi.git;https://raw.githubusercontent.com/openmaraude/schema-stationstaxi/master/schema.json;tableschema;tech@le.taxi;;;;
vehicules-faibles-emissions-renouvellement-parc;https://github.com/etalab/schema-vehicules-faibles-emissions-renouvellement-parc.git;https://raw.githubusercontent.com/etalab/schema-vehicules-faibles-emissions-renouvellement-parc/master/schema.json;tableschema;schema@data.gouv.fr;;;;
point-eau-incendie;https://gitlab.com/datakode/schema-pei.git;https://gitlab.com/datakode/schema-pei/-/raw/master/schema.json;tableschema;portier@datakode.fr;;;;
itineraire-randonnee;https://github.com/PnX-SI/schema_randonnee.git;;jsonschema;schema@data.gouv.fr;;;;
emprise-stationnement-voirie;https://github.com/macaron-ai/onstreet-parking-schema.git;;jsonschema;contact@transport.data.gouv.fr;;;;
passage-a-niveau;https://github.com/etalab/schema-passage-a-niveau;https://raw.githubusercontent.com/etalab/schema-passage-a-niveau/master/schema.json;tableschema;contact@transport.data.gouv.fr;;;;transport.data.gouv.fr
comptage-mobilite;https://github.com/etalab/schema-comptage-mobilites;https://raw.githubusercontent.com/etalab/schema-comptage-mobilites/main/datapackage.json;datapackage;contact@transport.data.gouv.fr;https://doc.transport.data.gouv.fr/producteurs/comptage-des-mobilites;;;transport.data.gouv.fr
dispositif-aide;https://github.com/etalab/schema-dispositif-aide.git;https://raw.githubusercontent.com/etalab/schema-dispositif-aide/master/schema.json;tableschema;aides-territoires@beta.gouv.fr;;;;
vehicules-faibles-emissions-renouvellement-parc-synthese;https://github.com/etalab/schema-vehicules-faibles-emissions-renouvellement-parc-synthese.git;https://raw.githubusercontent.com/etalab/schema-vehicules-faibles-emissions-renouvellement-parc-synthese/master/schema.json;tableschema;schema@data.gouv.fr;;;;
structures-insertion;https://github.com/gip-inclusion/data-inclusion-schema.git;;jsonschema;data-inclusion@inclusion.gouv.fr;https://gip-inclusion.github.io/data-inclusion-schema/;;;
friches;https://github.com/cnigfr/schema-friches.git;https://raw.githubusercontent.com/cnigfr/schema-friches/main/schema.json;tableschema;cnig@cnig.fr;;;;CNIG
indice-reparabilite;https://github.com/etalab/schema-indice-reparabilite.git;https://raw.githubusercontent.com/etalab/schema-indice-reparabilite/master/schema.json;tableschema;schema@data.gouv.fr;;;;
impact-service-public-numerique;https://github.com/etalab/schema-impact-service-public-numerique;https://raw.githubusercontent.com/etalab/schema-impact-service-public-numerique/master/schema.json;tableschema;schema@data.gouv.fr;;;;
schema-accessibilite-voirie;https://github.com/cnigfr/schema-accessibilite-voirie.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/ressources-accessibilite-a25335.html;;;CNIG
